year,state,cancer_death_rate_by_100k_people,obesity_pct_pop
2012,Tennessee,187.6,31.1
2016,Mississippi,187.7,37.3
2011,Alabama,187.8,32.0
2015,Mississippi,188.4,35.6
2013,Louisiana,188.5,33.1
2011,Tennessee,189.0,29.2
2012,Arkansas,189.1,34.5
2012,Oklahoma,189.9,32.2
2013,Arkansas,190.0,34.6
2015,West Virginia,190.4,35.6
2012,Louisiana,190.7,34.7
2013,West Virginia,190.8,35.1
2011,Arkansas,191.1,30.9
2011,Oklahoma,191.1,31.1
2012,West Virginia,191.8,33.8
2014,Mississippi,193.1,35.5
2011,Louisiana,193.7,33.4
2016,Kentucky,193.8,34.2
2014,West Virginia,195.1,35.7
2015,Kentucky,195.9,34.6
2013,Mississippi,197.0,35.1
2011,Mississippi,197.4,34.9
2014,Kentucky,198.8,31.6
2013,Kentucky,199.3,33.2
2011,West Virginia,200.1,32.4
2012,Mississippi,200.4,34.6
2011,Kentucky,200.8,30.4
2012,Kentucky,201.5,31.3
